uuid,speaker_id,duration
aebac430-9dc7-44c0-8739-819bc2a70e88,S11,112.72
a3f69bb8-c561-434b-845c-10fca03c274a,S1,95.56
605fe4ec-f6da-486e-aa8b-3abfb0992612,S2,17.72
0ebd9492-799c-4b66-8b6f-db7678e5ed0c,S1,36.4
2e6e375b-8b81-48b7-a785-40200504beb9,S7,47.56
2bd05fe2-8a10-4c60-9994-edfa1545eff9,S7,22.92
db1120fc-a734-4292-8faf-72bcceb21bf9,S3,37.24
b6c98140-5d3c-4605-8386-a8bdd5eeea12,S7,23.68
d094557a-9556-4f22-883b-cb4f090d8c16,S8,43.48
f404a883-20c3-4f82-8122-cca490add518,S7,14.92
6488a953-3099-425f-8425-19a29c453668,S10,84.24
5a76f430-bdf3-439c-9884-43c32df2a6f6,S10,25.16
03c78b4e-09a3-4328-b268-eeaa07588466,S8,56.28
175558da-f1f1-4dac-9b77-01d36755d8d4,S7,12.72
0cee5f17-187c-4af9-9a2d-55b40473f36c,S7,10.4
1afebc83-35f0-4a0c-ad1b-c6459a6769fc,S8,16.28
9d64eca3-1594-4469-a7df-e0a801ba0f15,S5,11.32
efca3430-623e-4026-bd8b-a533b7eab608,S5,36.12
b7e97115-04b9-4f9d-9efa-110113d190d6,S10,29.0
a3dcd192-edee-43f9-a9ff-dd8a0cce8dc7,S11,29.8
097df5db-5eaa-40b9-9eb0-2ddf5274212f,S7,9.08
efb617c0-33de-4b57-9cbb-a3f4be5385e9,S2,6.88
c5ccf87c-6773-4a36-ac19-e454d32c5645,S10,58.48
8b250d95-2464-4c5d-8c3f-c4968949a7b2,S10,18.88
c31675d5-7e09-4d37-a664-f96d2a7a439e,S7,57.2
3968aecc-23d6-430c-be75-316a48ac4eb9,S3,123.32
e1dfc7fb-101f-487a-909a-f0b383e364f3,S3,83.08
1b3adcb0-11be-4d7b-9851-f814442d44b7,S8,56.2
74151140-0760-4f1b-903b-b564305c6b3c,S8,72.52
27a353a6-a698-42bf-8ba3-d0e3f5f7e82c,S5,37.12
1ce304c1-26e3-4289-aa5e-75a44466d2c4,S8,19.48
2e5fee9a-2c83-4ea2-b28a-0954636233cd,S2,56.52
be4de8b1-1fa1-4585-8a8c-00e2a5c8e958,S8,65.44
74216c5e-abd2-413b-a823-e18922a9010b,S8,12.4
e7e5a94f-b03e-43d1-9490-48a10072e880,S11,42.36
54aeefb7-014d-461a-aba7-89ea8c547262,S11,150.48
fbde58c1-a4d2-4b3a-9f04-2137765a8379,S8,27.56
89c1875b-7e2c-494b-bcc7-6e306d8f32af,S3,61.08
34df2ff6-be27-43b1-b51a-49614a33662d,S10,17.36
2da9e314-7640-4aa3-a699-f04f101d2fe5,S5,20.16
b18ca5df-4a56-4def-9771-0990dc811437,S5,53.6
bd9fca23-a546-4744-9043-43b803baba57,S5,11.08
9f88d8fe-1d41-4117-97ce-58923846d5e0,S10,26.84
b1cf4944-d7a1-4947-8aa9-1fe0865c9739,S7,22.04
c7086cac-d7e0-483b-9cd9-b9af6baac64f,S3,50.04
0bebf02f-6749-42b7-86d7-1fc69501886b,S3,59.04
56c307f3-ce49-417d-8d64-92344cd6d4f5,S8,11.2
a2670030-7756-4328-a9ca-ab7048813ca0,S7,81.68
dd6b71db-d02c-418d-89c9-2841b2c419d6,S2,13.56
eb22a9da-988b-406c-9146-1e2678198236,S1,45.96
1767789d-bc1e-4f65-9c2f-6bb020d28967,S1,29.2
9f0303e7-48a0-4bfd-8f03-879307894875,S1,23.84
fc0bc581-e14c-4c02-8b76-5975276b29bf,S5,17.68
8636eb3a-9b3a-4810-a972-b8f7d4aefbb8,S10,70.72
1175239e-419d-40e0-8de2-fe50ffba86b6,S3,165.16
86a20111-8346-48ae-b4d4-aff811efe697,S10,44.76
8625c051-c190-4f50-8397-378e7eef4b08,S2,29.56
b5a49f14-79bf-443a-948e-89bdbf4b765d,S1,49.52
97185afc-9496-4117-9589-7b6a57290adf,S5,21.72
eb1815a7-08b4-4b25-98ca-0ad3b13beab2,S11,22.2
2ce3e08c-d0db-433c-adae-53b3686aa353,S8,27.28
46852f6a-84ba-486a-8e1c-ea2442201c81,S10,29.08
8ccb8341-2c29-4de2-81b1-ab8d386d5541,S11,138.16
81835718-6b14-4379-a82b-cbe458f4a0d4,S2,70.36
d950a19e-acf4-4187-a472-7516bd6f8043,S11,21.2
0539b0c5-e3f2-4a12-bf42-1888105b5e5d,S11,37.2
8a190782-6770-44ff-b555-b8baa50f92c4,S11,42.52
ebe25d32-5304-4e66-9a62-c63e1e60cf0f,S5,20.92
dc3c43d7-ea5c-44c7-b401-67ef7afe5951,S8,25.32
bdfee787-7d0e-4c2d-ba1f-83dd0ab87acf,S8,11.84
43f5eb45-d286-4e99-8c35-52e156261e0e,S1,18.8
e45e6846-50ed-4933-b18b-be29792c8ede,S1,32.28
b483699e-c915-4d7e-8c82-9d0f833a7e8d,S3,8.08
1751260a-d9ca-421e-9f39-1433b66f0754,S2,31.52
cf4c077e-f2c7-4d9d-93e9-dccc9feb49df,S10,12.76
04a12bcb-eb1a-4b6b-a2d8-9d5b0d06ac72,S8,28.28
5cad3413-aac8-4a52-9c52-499397557a30,S8,57.32
0bb6de93-b027-4b94-b151-40d33f7940f8,S7,17.96
2cc8f410-c35b-4643-99c0-73770357851b,S7,39.56
25c5080c-ff16-43b8-a4f8-d38f569e7e71,S7,46.6
ffb3838e-7028-4139-a80d-e2a4a343e3a8,S10,28.28
923a1179-f7b1-4f1e-9c1e-ebc61c9485ad,S2,13.4
b8eb71f2-aca4-42c5-bde0-b122addcfb5c,S7,67.4
74928d68-9bda-4180-a3ff-0659d300b230,S11,20.0
4a69399d-4626-4937-bdca-940c4208c65a,S8,16.16
8d64b5ad-e208-469d-b579-ee2bc3e28654,S7,13.12
9bb91bc3-b3b5-4da2-84b2-79998bb47af8,S1,34.68
4462538d-0b07-4a0f-9571-bea557aca696,S8,14.92
d1e769bd-78fa-497c-9b6c-38a573d3d1dd,S8,101.0
05f92231-a1b6-4430-8b0f-053da8506803,S8,9.48
73dd78b1-875b-4770-a6e4-e21f32004a9e,S11,19.04
a2b405dc-720a-4f2e-917c-92cbdf6f299d,S1,24.32
9558f77e-9725-46f4-ae49-68a7c2a7a65f,S10,13.84
dfc08704-1820-476f-9bd2-0e5c746f412a,S10,37.2
ce061029-9ed5-4ed9-b033-4462f8071667,S8,22.28
30b5e3ef-744b-40f4-9e7c-b949221b8c28,S8,41.04
bfd9dcd3-c2e4-41fa-bc06-137b4ff9cce2,S10,31.28
16a225a3-66b8-43d8-ba53-20a659159c24,S3,44.36
9de3cb4d-8407-4034-8256-c28f2cad7426,S3,44.36
1f510f23-4f69-4c2f-b4c5-b0be9253dafe,S10,18.68
5bda43e5-aa7e-4d10-8860-ca1ad7da5584,S5,22.52
2d974a39-58d2-41a0-969d-31f99fc17240,S5,16.76
f7c43c26-9eab-46ef-94f4-097757d62d91,S5,16.08
788253e6-add4-4706-acef-ccc49b884934,S10,74.88
4388fd67-1e48-42b8-8f0e-4d5f89bf2c07,S10,36.72
bda8a065-2904-4b22-8ea5-585c5c5c234f,S5,22.84
06a54e43-4577-419d-857f-36c7e5e84372,S1,23.04
2a59cb6b-2eac-40ec-b2a4-a3d590db6951,S9,26.52
3cc3904f-e1b9-47b1-8600-f41578765daa,S9,25.48
2e583da0-deee-4aef-9a90-ba539c93feea,S1,6.76
